Id,PointName,PointValue,PointQuality,PointTimestamp,IdPointAlias,InsertTimestamp
44,WJA:CITARIK.FCA.Stream2.Temperature,840.106.201.171.875,Good,2025-01-21 18:02:35.830,3425,2025-01-21 18:00:52.827
45,WJA:CITARIK_TATAJABAR.FCA.Stream1.Diff_Pressure,0,Good,2025-01-21 18:02:35.827,3760,2025-01-21 18:00:52.837
46,WJA:CITARIK_TATAJABAR.FCA.Stream1.Flow_Rate_Energy,0,Good,2025-01-21 18:02:35.830,3802,2025-01-21 18:00:52.843
47,WJA:CITARIK_TATAJABAR.FCA.Stream1.Flow_Rate_Net,0,Good,2025-01-21 18:02:35.830,3865,2025-01-21 18:00:52.830
48,WJA:CITARIK_TATAJABAR.FCA.Stream1.Pressure,0.204094931483269,Good,2025-01-21 18:02:35.827,4243,2025-01-21 18:00:52.833
49,WJA:CITARIK_TATAJABAR.FCA.Stream1.Prev_Day_Average_Pressure,99.357.795.715.332,Good,2025-01-21 09:46:59.803,4411,2025-01-21 09:45:17.590
50,WJA:CITARIK_TATAJABAR.FCA.Stream1.Prev_Day_Average_Temperature,8.762.353.515.625,Good,2025-01-21 09:46:59.803,4432,2025-01-21 09:45:17.567
51,WJA:CITARIK_TATAJABAR.FCA.Stream1.Prev_Day_Energy_Totalizer,0,Good,2025-01-21 09:46:59.803,4516,2025-01-21 09:45:17.430
52,WJA:CITARIK_TATAJABAR.FCA.Stream1.Prev_Day_Net_Totalizer,0,Good,2025-01-21 09:46:59.803,4789,2025-01-21 09:45:17.513
53,WJA:CITARIK_TATAJABAR.FCA.Stream1.Prev_Hourly_Energy_Totalizer,0,Good,2025-01-21 17:46:59.693,4873,2025-01-21 17:45:16.313
54,WJA:CITARIK_TATAJABAR.FCA.Stream1.Prev_Hourly_Net_Totalizer,0,Good,2025-01-21 17:46:59.690,4978,2025-01-21 17:45:15.883
55,WJA:CITARIK_TATAJABAR.FCA.Stream1.Temperature,761.122.665.405.273,Good,2025-01-21 18:02:35.833,5209,2025-01-21 18:00:52.847
56,WJA:CLISTRINDO_KP72.FCA.Stream1.Diff_Pressure,-0.129653513431549,Not Connected,2023-12-13 10:40:09.807,5545,2023-12-13 10:56:19.800
57,WJA:CLISTRINDO_KP72.FCA.Stream2.Diff_Pressure,-0.110638335347176,Not Connected,2023-12-13 10:40:09.807,5546,2023-12-13 10:56:19.900
58,WJA:CLISTRINDO_KP72.FCA.Stream1.Flow_Rate_Net,0,Good,2025-01-21 18:02:35.833,5650,2025-01-21 18:00:52.860
59,WJA:CLISTRINDO_KP72.FCA.Stream2.Flow_Rate_Net,0,Good,2025-01-21 18:02:35.833,5651,2025-01-21 18:00:52.850
60,WJA:CLISTRINDO_KP72.FCA.Stream1.Pressure,328.136.047.363.281,Good,2025-01-21 18:02:35.830,6028,2025-01-21 18:00:52.880
61,WJA:CLISTRINDO_KP72.FCA.Stream2.Pressure,503.077.163.696.289,Good,2025-01-21 18:02:35.830,6029,2025-01-21 18:00:52.873
62,WJA:CLISTRINDO_KP72.FCA.Stream1.Prev_Day_Energy_Totalizer,0,Good,2025-01-21 09:46:59.807,6301,2025-01-21 09:45:17.510
63,WJA:CLISTRINDO_KP72.FCA.Stream2.Prev_Day_Energy_Totalizer,0,Good,2025-01-21 09:46:59.807,6302,2025-01-21 09:45:16.563
64,WJA:CLISTRINDO_KP72.FCA.Stream1.Prev_Day_Net_Totalizer,0,Good,2025-01-21 09:46:59.807,6574,2025-01-21 09:45:15.500
65,WJA:CLISTRINDO_KP72.FCA.Stream2.Prev_Day_Net_Totalizer,0,Good,2025-01-21 09:46:59.807,6575,2025-01-21 09:45:15.710
66,WJA:CLISTRINDO_KP72.FCA.Stream1.Prev_Hourly_Energy_Totalizer,0,Good,2025-01-21 09:46:59.807,6658,2025-01-21 09:45:16.953
67,WJA:CLISTRINDO_KP72.FCA.Stream2.Prev_Hourly_Energy_Totalizer,0,Good,2025-01-21 09:46:59.807,6659,2025-01-21 09:45:15.360
68,WJA:CLISTRINDO_KP72.FCA.Stream1.Prev_Hourly_Net_Totalizer,0,Good,2025-01-21 17:46:59.697,6763,2025-01-21 17:45:15.583
69,WJA:CLISTRINDO_KP72.FCA.Stream2.Prev_Hourly_Net_Totalizer,0,Good,2025-01-21 17:46:59.697,6764,2025-01-21 17:45:15.693
70,WJA:CLISTRINDO_KP72.FCA.Stream1.Temperature,77.101.203.918.457,Good,2025-01-21 18:02:35.833,6994,2025-01-21 18:00:52.850
71,WJA:CLISTRINDO_KP72.FCA.Stream2.Temperature,773.867.263.793.945,Good,2025-01-21 18:02:35.833,6995,2025-01-21 18:00:52.853
72,WJA:DAWUAN_KUJANG.FCA.Stream1.Diff_Pressure,111.821.983.337.402,Good,2025-01-21 18:02:35.807,9115,2025-01-21 18:00:52.867
73,WJA:DAWUAN_KUJANG.FCA.Stream1.Flow_Rate_Energy,575.270.625,Good,2025-01-21 18:02:35.807,9157,2025-01-21 18:00:52.873
74,WJA:DAWUAN_KUJANG.FCA.Stream2.Flow_Rate_Energy,4.100.819.921.875,Good,2025-01-21 18:02:35.803,9158,2025-01-21 18:00:54.000
75,WJA:DAWUAN_KUJANG.FCA.Stream1.Flow_Rate_Net,54.797.546.875,Good,2025-01-21 18:02:35.807,9220,2025-01-21 18:00:52.870
76,WJA:DAWUAN_KUJANG.FCA.Stream2.Flow_Rate_Net,390.624.609.375,Good,2025-01-21 18:02:35.807,9221,2025-01-21 18:00:53.990
77,WJA:DAWUAN_KUJANG.FCA.Stream1.Pressure,218.619.155.883.789,Good,2025-01-21 18:02:35.803,9598,2025-01-21 18:00:52.863
78,WJA:DAWUAN_KUJANG.FCA.Stream2.Pressure,21.854.118.347.168,Good,2025-01-21 18:02:35.807,9599,2025-01-21 18:00:52.890
79,WJA:DAWUAN_KUJANG.FCA.Stream1.Prev_Day_Average_Pressure,255.836.669.921.875,Good,2024-05-10 00:08:50.443,9766,2024-05-10 01:08:38.750
80,WJA:DAWUAN_KUJANG.FCA.Stream2.Prev_Day_Average_Pressure,255.026.702.880.859,Good,2024-05-10 00:10:50.243,9767,2024-05-10 01:08:34.123
81,WJA:DAWUAN_KUJANG.FCA.Stream1.Prev_Day_Average_Temperature,836.113.967.895.508,Good,2024-05-10 00:08:50.443,9787,2024-05-10 01:08:38.497
82,WJA:DAWUAN_KUJANG.FCA.Stream2.Prev_Day_Average_Temperature,837.764.282.226.563,Good,2024-05-10 00:10:50.243,9788,2024-05-10 01:08:39.937
83,WJA:DAWUAN_KUJANG.FCA.Stream1.Prev_Day_Energy_Totalizer,571.345.313,Good,2025-01-21 09:46:59.767,9871,2025-01-21 09:45:16.277
84,WJA:DAWUAN_KUJANG.FCA.Stream2.Prev_Day_Energy_Totalizer,403.092.029,Good,2025-01-21 09:46:59.767,9872,2025-01-21 09:45:16.083
85,WJA:DAWUAN_KUJANG.FCA.Stream1.Prev_Day_Net_Totalizer,54.423.640.625,Good,2025-01-21 09:46:59.767,10144,2025-01-21 09:45:17.307
86,WJA:DAWUAN_KUJANG.FCA.Stream2.Prev_Day_Net_Totalizer,383.966.328.125,Good,2025-01-21 09:46:59.767,10145,2025-01-21 09:45:15.637
87,WJA:DAWUAN_KUJANG.FCA.Stream1.Prev_Hourly_Energy_Totalizer,240.579.150.390.625,Good,2025-01-21 17:46:59.667,10228,2025-01-21 17:45:16.347
88,WJA:DAWUAN_KUJANG.FCA.Stream2.Prev_Hourly_Energy_Totalizer,168.859.484.863.281,Good,2025-01-21 17:46:59.667,10229,2025-01-21 17:45:16.573
89,WJA:DAWUAN_KUJANG.FCA.Stream1.Prev_Hourly_Net_Totalizer,229.164.282.226.563,Good,2025-01-21 17:46:59.670,10333,2025-01-21 17:45:15.730
90,WJA:DAWUAN_KUJANG.FCA.Stream2.Prev_Hourly_Net_Totalizer,160.847.521.972.656,Good,2025-01-21 17:46:59.667,10334,2025-01-21 17:45:16.060
91,WJA:DAWUAN_KUJANG.FCA.Stream1.Temperature,818.197.402.954.102,Good,2025-01-21 18:02:35.807,10564,2025-01-21 18:00:52.887
92,WJA:DAWUAN_KUJANG.FCA.Stream2.Temperature,820.442.810.058.594,Good,2025-01-21 18:02:35.803,10565,2025-01-21 18:00:52.903
93,WJA:IGAS_CIBITUNG.FCA.Stream1.Diff_Pressure,524.673.805.236.816,Not Connected,2023-12-13 10:40:09.807,10900,2023-12-13 10:40:10.170
94,WJA:IGAS_CIBITUNG.FCA.Stream1.Flow_Rate_Energy,217.897.973.632.813,Good,2025-01-21 18:02:35.807,10942,2025-01-21 18:00:52.900
95,WJA:IGAS_CIBITUNG.FCA.Stream1.Flow_Rate_Net,227.822.509.765.625,Good,2025-01-21 18:02:35.807,11005,2025-01-21 18:00:52.907
96,WJA:IGAS_CIBITUNG.FCA.Stream1.Pressure,314.684.875.488.281,Good,2025-01-21 18:02:35.807,11383,2025-01-21 18:00:52.893
97,WJA:IGAS_CIBITUNG.FCA.Stream1.Prev_Day_Average_Pressure,318.190.460.205.078,Good,2025-01-21 09:46:59.770,11551,2025-01-21 09:45:15.860
98,WJA:IGAS_CIBITUNG.FCA.Stream1.Prev_Day_Average_Temperature,826.404.647.827.148,Good,2025-01-21 09:46:59.767,11572,2025-01-21 09:45:17.057
99,WJA:IGAS_CIBITUNG.FCA.Stream1.Prev_Day_Energy_Totalizer,22.554.732,Good,2025-01-21 09:46:59.770,11656,2025-01-21 09:45:17.563
100,WJA:IGAS_CIBITUNG.FCA.Stream1.Prev_Day_Net_Totalizer,23.597.496,Good,2025-01-21 09:46:59.770,11929,2025-01-21 09:45:17.270
101,WJA:IGAS_CIBITUNG.FCA.Stream1.Prev_Hourly_Energy_Totalizer,978.028.717.041.016,Good,2025-01-21 17:46:59.670,12013,2025-01-21 17:45:15.900
102,WJA:IGAS_CIBITUNG.FCA.Stream1.Prev_Hourly_Net_Totalizer,102.324.562.072.754,Good,2025-01-21 17:46:59.630,12118,2025-01-21 17:45:15.463
103,WJA:IGAS_CIBITUNG.FCA.Stream1.Temperature,818.755.722.045.898,Good,2025-01-21 18:02:35.753,12349,2025-01-21 18:00:52.900
104,WJA:JTB210.FCA.Stream1.Diff_Pressure,114.066.551.208.496,Good,2025-01-21 09:46:59.730,12685,2025-01-21 09:45:17.060
105,WJA:JTB210.FCA.Stream2.Diff_Pressure,123.591.585.159.302,Not Connected,2023-12-13 10:40:09.810,12686,2023-12-13 10:56:20.410
106,WJA:JTB210.FCA.Stream1.Flow_Rate_Net,69.767.734.375,Good,2025-01-21 18:02:35.757,12790,2025-01-21 18:00:52.897
107,WJA:JTB210.FCA.Stream2.Flow_Rate_Net,0,Good,2025-01-21 18:02:35.757,12791,2025-01-21 18:00:52.930
108,WJA:JTB210.FCA.Stream1.Pressure,159.633.972.167.969,Good,2025-01-21 09:46:59.730,13168,2025-01-21 09:45:16.387
109,WJA:JTB210.FCA.Stream2.Pressure,15.587.321.472.168,Good,2025-01-21 18:02:35.757,13169,2025-01-21 18:00:52.910
110,WJA:JTB210.FCA.Stream1.Prev_Day_Average_Pressure,0,Bad,2025-01-21 09:46:59.727,13336,2025-01-21 09:45:17.427
111,WJA:JTB210.FCA.Stream2.Prev_Day_Average_Pressure,0,Bad,2025-01-21 09:46:59.730,13337,2025-01-21 09:45:17.420
112,WJA:JTB210.FCA.Stream1.Prev_Day_Average_Temperature,0,Bad,2025-01-21 09:46:59.730,13357,2025-01-21 09:45:17.250
113,WJA:JTB210.FCA.Stream2.Prev_Day_Average_Temperature,0,Bad,2025-01-21 09:46:59.730,13358,2025-01-21 09:45:16.703
114,WJA:JTB210.FCA.Stream1.Prev_Day_Energy_Totalizer,666.235.693.359.375,Good,2025-01-21 09:46:59.730,13441,2025-01-21 09:45:15.330
115,WJA:JTB210.FCA.Stream2.Prev_Day_Energy_Totalizer,0,Good,2025-01-21 09:46:59.727,13442,2025-01-21 09:45:15.593
116,WJA:JTB210.FCA.Stream1.Prev_Day_Net_Totalizer,6.820.435.546.875,Good,2025-01-21 09:46:59.730,13714,2025-01-21 09:45:17.913
117,WJA:JTB210.FCA.Stream2.Prev_Day_Net_Totalizer,0,Good,2025-01-21 09:46:59.727,13715,2025-01-21 09:45:17.797
118,WJA:JTB210.FCA.Stream1.Prev_Hourly_Net_Totalizer,290.026.519.775.391,Good,2025-01-21 17:46:59.627,13903,2025-01-21 17:45:15.833
119,WJA:JTB210.FCA.Stream2.Prev_Hourly_Net_Totalizer,0,Good,2025-01-21 17:46:59.627,13904,2025-01-21 17:45:16.180
120,WJA:JTB210.FCA.Stream1.Temperature,769.182.739.257.813,Good,2025-01-21 18:02:35.757,14134,2025-01-21 18:00:52.910
121,WJA:JTB210.FCA.Stream2.Temperature,755.349.807.739.258,Good,2025-01-21 18:02:35.757,14135,2025-01-21 18:00:52.923
122,WJA:MS_BALONGAN_FUEL.FCA.Stream1.Diff_Pressure,0.135594725608826,Good,2025-01-21 18:02:35.753,14470,2025-01-21 18:00:52.933
123,WJA:MS_BALONGAN_FUEL.FCA.Stream1.Flow_Rate_Energy,52.442.253.112.793,Good,2025-01-21 18:02:35.757,14512,2025-01-21 18:00:52.927
124,WJA:MS_BALONGAN_FUEL.FCA.Stream1.Flow_Rate_Net,490.502.815.246.582,Good,2025-01-21 18:02:35.757,14575,2025-01-21 18:00:52.920
125,WJA:MS_BALONGAN_FUEL.FCA.Stream1.Pressure,14.485.221.862.793,Good,2025-01-21 18:02:35.760,14953,2025-01-21 18:00:52.920
126,WJA:MS_BALONGAN_FUEL.FCA.Stream1.Prev_Day_Average_Pressure,151.003.219.604.492,Good,2025-01-21 09:46:59.733,15121,2025-01-21 09:45:17.940
127,WJA:MS_BALONGAN_FUEL.FCA.Stream1.Prev_Day_Energy_Totalizer,419.109,Good,2025-01-21 09:46:59.730,15226,2025-01-21 09:45:15.870
128,WJA:MS_BALONGAN_FUEL.FCA.Stream1.Prev_Day_Net_Totalizer,39:02:00,Good,2025-01-21 09:46:59.733,15499,2025-01-21 09:45:17.297
129,WJA:MS_BALONGAN_FUEL.FCA.Stream1.Prev_Hourly_Net_Totalizer,20.676.429.271.698,Good,2025-01-21 17:46:59.633,15688,2025-01-21 17:45:15.580
130,WJA:MS_BALONGAN_FUEL.FCA.Stream1.Temperature,782.407.760.620.117,Good,2025-01-21 18:02:35.760,15919,2025-01-21 18:00:52.923
131,WJA:MS_BALONGAN_RUVI.FCA.Stream1.Diff_Pressure,118.680.503.845.215,Good,2025-01-21 18:02:35.760,16255,2025-01-21 18:00:52.937
132,WJA:MS_BALONGAN_RUVI.FCA.Stream1.Flow_Rate_Energy,27.000.734.375,Good,2025-01-21 18:02:35.757,16297,2025-01-21 18:00:52.930
133,WJA:MS_BALONGAN_RUVI.FCA.Stream1.Flow_Rate_Net,2.525.432.421.875,Good,2025-01-21 18:02:35.760,16360,2025-01-21 18:00:52.913
134,WJA:MS_BALONGAN_RUVI.FCA.Stream1.Pressure,132.670.486.450.195,Good,2025-01-21 18:02:35.763,16738,2025-01-21 18:00:52.917
135,WJA:MS_BALONGAN_RUVI.FCA.Stream1.Prev_Day_Average_Pressure,140.554.992.675.781,Good,2025-01-21 09:46:59.733,16906,2025-01-21 09:45:16.247
136,WJA:MS_BALONGAN_RUVI.FCA.Stream1.Prev_Day_Energy_Totalizer,252.991.229,Good,2025-01-21 09:46:59.730,17011,2025-01-21 09:45:17.100
137,WJA:MS_BALONGAN_RUVI.FCA.Stream1.Prev_Day_Net_Totalizer,236.627.727,Good,2025-01-21 09:46:59.733,17284,2025-01-21 09:45:17.487
138,WJA:MS_BALONGAN_RUVI.FCA.Stream1.Prev_Hourly_Energy_Totalizer,107.072.705.078.125,Good,2025-01-21 17:46:59.633,17368,2025-01-21 17:45:16.147
139,WJA:MS_BALONGAN_RUVI.FCA.Stream1.Prev_Hourly_Net_Totalizer,100.147.229.003.906,Good,2025-01-21 17:46:59.630,17473,2025-01-21 17:45:16.150
140,WJA:MS_BALONGAN_RUVI.FCA.Stream1.Temperature,821.704.406.738.281,Good,2025-01-21 18:02:35.760,17704,2025-01-21 18:00:52.940
141,WJA:MS_BALONGAN_SMG.FCA.Stream1.Diff_Pressure,490.577.087.402.344,Good,2025-01-21 18:02:35.760,17860,2025-01-21 18:00:52.943
142,WJA:MS_BALONGAN_SMG.FCA.Stream1.Flow_Rate_Energy,2.329.783.203.125,Good,2025-01-21 18:02:35.760,17862,2025-01-21 18:00:52.957
143,WJA:MS_BALONGAN_SMG.FCA.Stream1.Flow_Rate_Net,2.179.092.578.125,Good,2025-01-21 18:02:35.760,17865,2025-01-21 18:00:52.943
144,WJA:MS_BALONGAN_SMG.FCA.Stream1.Pressure,144.047.637.939.453,Good,2025-01-21 18:02:35.760,17883,2025-01-21 18:00:52.940
145,WJA:MS_BALONGAN_SMG.FCA.Stream1.Prev_Day_Average_Pressure,-4.042.001.953.125,Good,2025-01-21 09:46:59.733,17891,2025-01-21 09:45:16.257
146,WJA:MS_BALONGAN_SMG.FCA.Stream1.Prev_Day_Energy_Totalizer,11.792.563,Good,2025-01-21 09:46:59.733,17896,2025-01-21 09:45:17.883
147,WJA:MS_BALONGAN_SMG.FCA.Stream1.Prev_Day_Net_Totalizer,110.298.186,Good,2025-01-21 09:46:59.733,17909,2025-01-21 09:45:17.890
148,WJA:MS_BALONGAN_SMG.FCA.Stream1.Prev_Hourly_Energy_Totalizer,979.596.069.335.938,Good,2025-01-21 17:46:59.637,17913,2025-01-21 17:45:15.830
149,WJA:MS_BALONGAN_SMG.FCA.Stream1.Prev_Hourly_Net_Totalizer,916.235.656.738.281,Good,2025-01-21 17:46:59.633,17918,2025-01-21 17:45:15.987
150,WJA:MS_BALONGAN_SMG.FCA.Stream1.Temperature,837.360.305.786.133,Good,2025-01-21 18:02:35.763,17929,2025-01-21 18:00:52.960
151,WJA:MS_BALONGAN_UPMS.FCA.Stream1.Diff_Pressure,888.581.943.511.963,Good,2025-01-21 18:02:35.767,19645,2025-01-21 18:00:52.967
152,WJA:MS_BALONGAN_UPMS.FCA.Stream1.Flow_Rate_Energy,142.629.791.259.766,Good,2025-01-21 18:02:35.767,19647,2025-01-21 18:00:52.990
153,WJA:MS_BALONGAN_UPMS.FCA.Stream1.Flow_Rate_Net,133.361.968.994.141,Good,2025-01-21 18:02:35.763,19650,2025-01-21 18:00:52.973
154,WJA:MS_BALONGAN_UPMS.FCA.Stream1.Pressure,143.752.090.454.102,Good,2025-01-21 18:02:35.767,19668,2025-01-21 18:00:52.980
155,WJA:MS_BALONGAN_UPMS.FCA.Stream1.Prev_Day_Average_Pressure,14.979.264.831.543,Good,2025-01-21 09:46:59.737,19676,2025-01-21 09:45:16.960
156,WJA:MS_BALONGAN_UPMS.FCA.Stream1.Prev_Day_Average_Temperature,835.648.803.710.938,Good,2025-01-21 09:46:59.737,19677,2025-01-21 09:45:17.140
157,WJA:MS_BALONGAN_UPMS.FCA.Stream1.Prev_Day_Energy_Totalizer,1.425.047,Good,2025-01-21 09:46:59.737,19681,2025-01-21 09:45:17.013
158,WJA:MS_BALONGAN_UPMS.FCA.Stream1.Prev_Day_Net_Totalizer,1.332.448,Good,2025-01-21 09:46:59.737,19694,2025-01-21 09:45:16.660
159,WJA:MS_BALONGAN_UPMS.FCA.Stream1.Prev_Hourly_Energy_Totalizer,630.453.777.313.232,Good,2025-01-21 17:46:59.633,19698,2025-01-21 17:45:15.790
160,WJA:MS_BALONGAN_UPMS.FCA.Stream1.Prev_Hourly_Net_Totalizer,58.948.802.947.998,Good,2025-01-21 17:46:59.637,19703,2025-01-21 17:45:15.810
161,WJA:MS_BALONGAN_UPMS.FCA.Stream1.Temperature,781.023.864.746.094,Good,2025-01-21 18:02:35.763,19714,2025-01-21 18:00:52.963
162,WJA:MS_CILEGON_BSSI.FCA.Stream1.Flow_Rate_Energy,946.495.056.152.344,Good,2025-01-21 18:02:35.787,21432,2025-01-21 18:00:52.970
163,WJA:MS_CILEGON_BSSI.FCA.Stream1.Flow_Rate_Net,101.514.624.023.438,Good,2025-01-21 18:02:35.787,21435,2025-01-21 18:00:52.967
164,WJA:MS_CILEGON_BSSI.FCA.Stream1.Pressure,158.904.556.274.414,Good,2025-01-21 18:02:35.790,21453,2025-01-21 18:00:52.990
165,WJA:MS_CILEGON_BSSI.FCA.Stream1.Prev_Day_Average_Pressure,185.755.706.787.109,Good,2025-01-21 09:46:59.750,21461,2025-01-21 09:45:15.493
166,WJA:MS_CILEGON_BSSI.FCA.Stream1.Prev_Day_Average_Temperature,785.293.502.807.617,Good,2025-01-21 09:46:59.753,21462,2025-01-21 09:45:16.540
167,WJA:MS_CILEGON_BSSI.FCA.Stream1.Prev_Day_Energy_Totalizer,1.017.197,Good,2025-01-21 09:46:59.740,21466,2025-01-21 09:45:17.610
168,WJA:MS_CILEGON_BSSI.FCA.Stream1.Prev_Day_Net_Totalizer,10.909.762,Good,2025-01-21 09:46:59.753,21479,2025-01-21 09:45:17.523
